股票代码,股票简称,涨跌幅,成交额/万元,最新价/元,昨收价/元,今开价/元,换手率,成交量/手
430394,伯朗特,0.0038,20.26,18.5,18.43,18.27,0.0004,110
835184,国源科技,0.0038,6.88,5.3,5.28,5.28,0.0003,130
430005,原子高科,0.0005,33.46,19.68,19.67,19.68,0.0001,170
832159,合全药业,0.0002,17.82,44.56,44.55,44.56,0,40
430004,绿创设备,0,0,0,0.53,0,0,0
430011,指南针,0,0,0,7.34,0,0,0
430021,海鑫科金,0,2.14,2.99,2.99,3.04,0,70
430022,五岳鑫,0,0,0,0.8,0,0,0
839999,莹科精化,0,0,0,0,0,0,0
430042,科瑞讯,0,0,0,17.5,0,0,0
430044,东宝亿通,0,0,0,1.41,0,0,0
430046,圣博润,0,0,0,2.95,0,0,0
430047,诺思兰德,0,0,0,6.63,0,0,0
430048,建设数字,0,0,0,2,0,0,0
430073,兆信股份,0,0,0,7.2,0,0,0
430075,中讯四方,0,2.12,1.31,1.31,1.34,0.0001,160
430076,国基科技,0,0,0,7.4,0,0,0
430077,道隆软件,0,0,0,4.5,0,0,0
430078,君德同创,0,0,0,4.45,0,0,0
430079,北京安鹏,0,0,0,10.2,0,0,0
430080,尚水股份,0,0,0,5.9,0,0,0
430081,五八汽车,0,0,0,6.68,0,0,0
430082,博雅科技,0,0,0,1.32,0,0,0
430083,ST中科,0,0,0,0.27,0,0,0
430134,ST可来博,0,0,0,1,0,0,0
430135,三益能环,0,0,0,3.33,0,0,0
430136,国顺投资,0,0,0,20,0,0,0
430137,润天股份,0,0,0,2.5,0,0,0
430138,国电武仪,0,0,0,5.5,0,0,0
430141,久日新材,0,0,0,25.39,0,0,0
430142,锐新昌,0,0,0,22.19,0,0,0
430143,武大科技,0,0,0,1.92,0,0,0
430144,煦联得,0,0,0,1.02,0,0,0
430145,智立医学,0,0,0,2.65,0,0,0
430146,亚泰都会,0,0,0,1.28,0,0,0
430147,中矿龙科,0,0,0,3.03,0,0,0
430148,科能腾达,0,0,0,0.95,0,0,0
430152,思银股份,0,0,0,0.99,0,0,0
430153,中金网信,0,0,0,0.45,0,0,0
430155,康辰亚奥,0,0,0,0,0,0,0
430156,科曼股份,0,0,0,7,0,0,0
430157,腾龙电子,0,0,0,6,0,0,0
430158,北方科诚,0,0,0,0,0,0,0
430159,创世生态,0,0,0,2.7,0,0,0
